"","x"
"1",130.18393845989
"2",159.182503566118
"3",150.775795165493
"4",145.82691884718
"5",148.338392788352
"6",145.568523758344
"7",128.850529664148
"8",124.394693584641
"9",127.85778251038
"10",123.713470440258
"11",127.017202195082
"12",131.882883437488
"13",124.371310334442
"14",138.302309338914
"15",135.282045556723
"16",129.331247847176
"17",133.207544184687
"18",154.869344659199
"19",130.222862060574
"20",124.233568788768
"21",156.036349090369
"22",150.178498172162
"23",130.277778886094
"24",143.517397269202
"25",131.925362123371
"26",124.048988276964
"27",126.863826300401
"28",150.983270792764
"29",146.302859467989
"30",135.240677736735
"31",124.938867918406
"32",132.52742361151
"33",127.412840919327
"34",124.647995988765
"35",130.513423416111
"36",141.154885526252
"37",123.599469236159
"38",124.665727997244
"39",130.450768925323
"40",130.729314923312
"41",128.505046008247
"42",127.279936490601
"43",153.976803413532
"44",153.343187564209
"45",163.016186818325
"46",162.660815919168
"47",146.910106247628
"48",143.514946627437
"49",147.953983906849
"50",153.119040406023
"51",148.886863192165
"52",125.435713932642
"53",137.84865697222
"54",136.581883961012
"55",135.280198929161
"56",123.248517846769
"57",124.898809955294
"58",125.283944577547
"59",144.864290634059
"60",124.295024499888
"61",123.099597530503
"62",123.121061230292
"63",139.146682169336
"64",140.22973691149
"65",129.486511572651
"66",133.815956358448
"67",130.50118641715
"68",137.705111197409
"69",135.185081494306
"70",142.676832777397
"71",125.189742734967
"72",125.428112770721
"73",123.371098347901
"74",135.333841898192
"75",125.304319783012
"76",126.64786108418
"77",121.448836213349
"78",121.721713754119
"79",124.406686024789
"80",124.803238241592
"81",127.564337632816
"82",127.416446257529
"83",133.474542385557
"84",130.790345447412
"85",143.782991983844
"86",139.795739391721
"87",128.727778109409
"88",126.692714586398
"89",128.574181230293
"90",149.533830914542
"91",128.571348530115
"92",125.279361108985
"93",140.156695217975
"94",171.6128146659
"95",143.361032273867
"96",136.462311983778
"97",133.948865781845
"98",127.73632467401
"99",124.975037258006
"100",153.881057422128
"101",154.703534361447
"102",126.14868487899
"103",127.974149907382
"104",123.633168645224
"105",129.716437946069
"106",126.681032368805
"107",122.944123372288
"108",127.200139503127
"109",122.626129531782
"110",125.02991180928
"111",123.107723123473
"112",121.686629687717
"113",124.394811982362
"114",121.802464583657
"115",121.926913454112
"116",122.75010580515
"117",122.319839982635
"118",121.514295166271
"119",121.399735515832
"120",121.247860358309
"121",121.149664475557
"122",121.1335881549
"123",121.174045059097
"124",121.224050347107
"125",121.109885470942
"126",123.403368516966
"127",122.977954122199
"128",122.766766816957
"129",128.291823654165
"130",128.676077530289
"131",135.632047601618
"132",155.642851198971
"133",136.982139271862
"134",136.053744879506
"135",135.757510935998
"136",133.221479857365
"137",131.824153277604
"138",124.653764065377
"139",123.058873055673
"140",132.737374929374
"141",133.331084491667
"142",134.38272106924
"143",133.296191377632
"144",137.37211534306
"145",132.030997792928
"146",131.729346691003
"147",122.910200637675
"148",126.092567079114
"149",127.799592045303
"150",125.304016997534
"151",126.677801406687
"152",125.540092739407
"153",127.914403781964
"154",130.185623665402
