"","Method","Choice","Measure","Mean","S.d."
"56","60","Overall","Rel",0.85607029753332,0.0937425403778822
"57","60","Overall","Rec",0.421795197694115,0.0719515453594679
"58","60","Overall","F_score",0.55293895856641,0.0608397607585147
"59","60","Overall","BiS",0.429822602506513,0.0275274455437421
"60","60","Overall","Restrictions",0.32,0.471212071499161
"61","80","Overall","CSR",0.707646103896104,0.13428390465203
"62","80","Overall","Rel",0.854373181906733,0.100114644338695
"63","80","Overall","Rec",0.407016267318383,0.0949966602962933
"64","80","Overall","F_score",0.537201918216857,0.081369913818876
"65","80","Overall","BiS",0.426721040727248,0.0352703176593131
"66","80","Overall","Restrictions",0.32,0.471212071499161
"67","100","Overall","CSR",0.703006493506493,0.134711470329225
"68","100","Overall","Rel",0.86340986953344,0.092957546214758
"69","100","Overall","Rec",0.406121906760564,0.0891765761609858
"70","100","Overall","F_score",0.536694945443912,0.0708822340809852
"71","100","Overall","BiS",0.429581347025192,0.0295736090870936
"72","100","Overall","Restrictions",0.22,0.41845195759648
"73","120","Overall","CSR",0.694081168831169,0.129972925996249
"74","120","Overall","Rel",0.863975768401468,0.0839356437412725
"75","120","Overall","Rec",0.395718609464939,0.0926882800961207
"76","120","Overall","F_score",0.527583667247757,0.0770026443519031
"77","120","Overall","BiS",0.431607544425799,0.023267818664056
"78","120","Overall","Restrictions",0.2,0.404061017820884
"79","140","Overall","CSR",0.687220779220779,0.108280162227275
"80","140","Overall","Rel",0.879719123114574,0.0713399690438035
"81","140","Overall","Rec",0.401823939569688,0.0784949257347323
"82","140","Overall","F_score",0.538405019235855,0.0651399145003218
"83","140","Overall","BiS",0.432236126988433,0.0220949208334785
"84","140","Overall","Restrictions",0.76,0.4314191105869
"85","160","Overall","CSR",0.643,0.0808056321516136
"86","160","Overall","Rel",0.895289556706646,0.0602145512215785
"87","160","Overall","Rec",0.366863359751062,0.0710486461118085
"88","160","Overall","F_score",0.5091642554471,0.0700811078278377
"89","160","Overall","BiS",0.43699359304197,0.0249183936850101
"90","160","Overall","Restrictions",1,0
"91","180","Overall","CSR",0.706935064935065,0.102169756618559
"92","180","Overall","Rel",0.857643274911936,0.0741174264139623
"93","180","Overall","Rec",0.417811299338105,0.0807417624547389
"94","180","Overall","F_score",0.549477774332993,0.0619016089331391
"95","180","Overall","BiS",0.424383488869903,0.024375817758467
"96","180","Overall","Restrictions",1,0
"97","200","Overall","CSR",0.662964285714286,0.0993450084601931
"98","200","Overall","Rel",0.880037724187634,0.0806132743460211
"99","200","Overall","Rec",0.378117540704246,0.0729210039086597
"100","200","Overall","F_score",0.516358000239426,0.0675195893071516
"101","200","Overall","BiS",0.435069667295994,0.0239075740586005
"102","200","Overall","Restrictions",1,0
"103","220","Overall","CSR",0.652678571428571,0.101725437371861
"104","220","Overall","Rel",0.893935083247718,0.0508889091161437
"105","220","Overall","Rec",0.368332566544486,0.0726927061081748
"106","220","Overall","F_score",0.510299557243204,0.0702766081858565
"107","220","Overall","BiS",0.436293645886708,0.0256377181976259
