"","x"
"1",89.3195566010348
"2",94.3950349723221
"3",93.3526213764148
"4",89.0015478682878
"5",98.9256067715061
"6",92.4123933541129
"7",93.9653897429214
"8",105.764314739482
"9",104.948960695623
"10",95.8634007065431
"11",99.9734158717563
"12",99.4743186206833
"13",95.5819313830022
"14",94.517544332895
"15",93.8383040396691
"16",91.6095723302917
"17",91.0066835707727
"18",92.2590542120167
"19",94.1326600673728
"20",96.3903390695473
"21",93.6961165670291
"22",94.011693573644
"23",95.6202651282831
"24",93.7502010123811
"25",94.9075835951335
"26",94.7847830237583
"27",94.2683179240479
"28",94.3712745373056
"29",94.4669069198505
"30",95.2422773266246
"31",101.87935537624
"32",96.5569872971945
"33",106.090826370288
"34",111.454191669832
"35",110.992312929955
"36",111.530090854258
"37",109.429051914341
"38",104.920574667318
"39",101.42571239402
"40",99.476314954736
"41",99.612659799994
"42",101.388413520397
"43",101.963497367692
"44",102.367301342204
"45",99.4305389775133
"46",107.278615503343
"47",107.973521245597
"48",106.695657547817
"49",104.20657219551
"50",95.8749834350975
"51",94.5753427604439
"52",92.8554276576118
"53",107.127893548014
"54",105.394610349829
"55",109.898124815721
"56",107.390389889941
"57",106.207917054808
"58",104.535943228921
"59",99.409393979905
"60",97.3333748022894
"61",100.701454352034
"62",102.766225528887
"63",99.7277568188478
"64",92.3135713627032
"65",93.4077398899918
"66",93.5152239290422
"67",92.2829611444262
"68",94.2734025783423
"69",93.9815567642689
"70",109.116446241317
"71",106.038827395988
"72",97.9446284317164
"73",96.4696905876991
"74",95.2529330437051
"75",94.5457689343567
"76",94.8554543237186
"77",94.65051997036
"78",94.1323523734807
"79",94.9612571576515
"80",94.1328387223227
"81",93.3038745972001
"82",103.225524248
"83",114.836210149989
"84",107.60456316801
"85",104.774317189669
"86",105.439260754262
"87",101.083203379122
"88",100.938649139308
"89",99.1541662261246
"90",98.4751951846026
"91",99.9913163319804
"92",101.764967942258
"93",94.1710136949344
"94",95.716307457327
"95",93.4598727532409
"96",90.5582197603535
"97",89.2025550709738
"98",88.175955775887
"99",88.34213248702
"100",87.953107177131
"101",88.2647095555856
"102",91.2807776984733
"103",89.8928377780454
"104",86.728174293209
"105",86.8994545315792
"106",86.4788849505643
"107",84.7412003430695
"108",86.1870900940653
"109",96.7258297012483
"110",97.5662158774518
"111",91.2481246036935
"112",92.0883635532355
"113",91.4981186000508
"114",92.8372095825529
"115",88.2648768279283
"116",100.162211142033
"117",94.6075844200948
"118",95.0965365870824
"119",94.4392163941342
"120",88.8611456729079
"121",96.0519806227642
"122",90.101923760282
"123",86.6302648068113
"124",86.3190432148278
"125",87.2370985226065
"126",89.293275106695
"127",99.2444189399227
"128",101.622992025068
"129",95.6814833612762
"130",92.7659143973392
"131",93.5264517531186
"132",100.06273474276
"133",93.8568446779989
"134",91.7137867832093
"135",89.1218840722211
"136",90.8592989514071
"137",87.8840499732651
"138",88.6108999658896
"139",87.7670191782313
"140",96.5019532667367
"141",85.7649089561618
"142",97.1755940788957
"143",106.320218358619
"144",107.13129861459
"145",107.018179550215
"146",103.168365546784
"147",104.047565862143
"148",105.174985623149
"149",102.880065882546
"150",99.2769591440611
"151",97.0054549551143
"152",95.4357316718527
"153",88.3621908595992
"154",92.8080462477379
"155",87.3692475996986
"156",85.4468612325691
"157",95.2430140291437
"158",96.6143430414602
"159",87.9860597837005
"160",86.8683018061181
"161",83.8125599781654
"162",84.0826739467993
"163",89.9553441077655
"164",95.3071812758244
"165",93.3622926130978
"166",91.4651409630026
"167",97.8378448328588
"168",100.542228739678
"169",97.7569860087804
"170",102.148049603364
"171",101.832513646772
"172",107.913154068146
"173",103.417306922607
"174",100.519774049837
"175",99.7458302416614
"176",100.075427675945
"177",96.7230512460947
"178",98.1176802460249
