"","k","Phi","Measure","Mean","S.d."
"1","2","0","ARI",0.309885761135203,0.0872934938805226
"2","2","0","NMI",0.297961092535548,0.0608004603193053
"3","2","0","Sil",0.113611664383456,0.0366743111345601
"4","2","0","Error",96.4782442258254,2.39021765281598
"5","2","0.002","ARI",0.314465014556111,0.0827739760267263
"6","2","0.002","NMI",0.300662155624807,0.0569709376960646
"7","2","0.002","Sil",0.114983299019876,0.0348856189342231
"8","2","0.002","Error",96.2922079409482,2.26955874129229
"9","2","0.004","ARI",0.314192474595028,0.0830269969685186
"10","2","0.004","NMI",0.300395580948686,0.0574305149668976
"11","2","0.004","Sil",0.114905864191395,0.0351688610998512
"12","2","0.004","Error",96.2814281750512,2.30132403521406
"13","2","0.006","ARI",0.316887544608692,0.081815699084929
"14","2","0.006","NMI",0.30169052471222,0.0570131030543102
"15","2","0.006","Sil",0.116008334742121,0.0346034347648358
"16","2","0.006","Error",96.3243177626194,2.35307959358758
"17","2","0.008","ARI",0.317096195853819,0.0761223284865733
"18","2","0.008","NMI",0.301754396078889,0.0528575744007557
"19","2","0.008","Sil",0.116788015869487,0.0323169429247083
"20","2","0.008","Error",96.5311486366762,2.64837176007439
"21","2","0.01","ARI",0.313998035129823,0.0832037680641676
"22","2","0.01","NMI",0.30060430417456,0.0578261627821654
"23","2","0.01","Sil",0.114892274937107,0.0351563207796456
"24","2","0.01","Error",96.3236073483,2.36968000030364
"25","2","0.012","ARI",0.314899077588155,0.0805258734446392
"26","2","0.012","NMI",0.300177608361569,0.0552490548909514
"27","2","0.012","Sil",0.115257681472492,0.0342678170607719
"28","2","0.012","Error",96.3726330749572,2.43612838484864
"29","2","0.014","ARI",0.316760414859179,0.0848087796271713
"30","2","0.014","NMI",0.301761961061351,0.0592140612809999
"31","2","0.014","Sil",0.116005750975542,0.0362110435660026
"32","2","0.014","Error",96.5063592433552,2.49765926800686
"33","2","0.016","ARI",0.314005179404387,0.0839051646023868
"34","2","0.016","NMI",0.300162753736406,0.0585277734450543
"35","2","0.016","Sil",0.114785850690753,0.0354865464245227
