"","Method","Cluster","Measure","Mean","S.d."
"1","SVD","Overall","ARI",0.686524760483693,0.268967622923185
"2","k means","Overall","ARI",0.647901804372375,0.147384407409372
"3","SVD","Overall","NMI",0.711613619804206,0.241641181664184
"4","k means","Overall","NMI",0.629895317363599,0.141410132337351
"5","SVD","Overall","Sil",0.216281286569167,0.197084167299406
"6","k means","Overall","Sil",0.188249218287944,0.10053055114472
"7","SVD","Overall","Error",125.300942122236,2.57219636776864
"8","k means","Overall","Error",141.081175447733,12.4596795488262
