"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",0.776458333333333,0.127693514903634
"2","2","Overall","Rel",0.626498861300373,0.142675392368512
"3","2","Overall","Rec",0.57358029593534,0.0996834848832113
"4","2","Overall","F_score",0.572474867358513,0.0944833621700984
"5","2","Overall","BiS",0.432061933395441,0.0637235568444354
"6","3","Overall","CSR",0.9665,0.0463786361502413
"7","3","Overall","Rel",0.975631486150285,0.0371680063784859
"8","3","Overall","Rec",0.913094351037733,0.100489727574631
"9","3","Overall","F_score",0.936622030453848,0.0739645536535587
"10","3","Overall","BiS",0.466887094866768,0.00594378069824054
"11","4","Overall","CSR",0.665321428571428,0.0828778123409737
"12","4","Overall","Rel",0.0934029812455618,0.25635910121078
"13","4","Overall","Rec",0.0603505746655605,0.16591124582428
"14","4","Overall","F_score",0.0713037424614398,0.195428867914428
"15","4","Overall","BiS",0.325361816441232,0.0211896718854717
"16","5","Overall","CSR",0.355238095238096,0.0600973341654079
"17","5","Overall","Rel",0.701886423710983,0.214832831832557
"18","5","Overall","Rec",0.141012403445198,0.0432369231276166
"19","5","Overall","F_score",0.234649066020431,0.0718830182033405
"20","5","Overall","BiS",0.337190877339137,0.103309486179485
