"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",0.525,0.150819755468095
"2","2","Overall","Rel",0.0144647882539465,0.0717924161307118
"3","2","Overall","Rec",0.00723239412697326,0.0358962080653558
"4","2","Overall","F_score",0.00964319216929768,0.0478616107538078
"5","2","Overall","BiS",0.246747933478054,0.194350600575268
"6","3","Overall","CSR",0.605555555555555,0.145694918656237
"7","3","Overall","Rel",0.00354628720633744,0.0103607335737608
"8","3","Overall","Rec",0.00179248776179082,0.00520888279384934
"9","3","Overall","F_score",0.00238077882626127,0.00693108104004955
"10","3","Overall","BiS",0.351486757349284,0.188579964908411
"11","4","Overall","CSR",0.630416666666667,0.121610070938806
"12","4","Overall","Rel",0.00238343239399928,0.0105304580090681
"13","4","Overall","Rec",0.00119171619699964,0.00526522900453404
"14","4","Overall","F_score",0.00158895492933285,0.00702030533937872
"15","4","Overall","BiS",0.374097148109445,0.144764519451175
