"","Method","Choice","Measure","Mean","S.d."
"1","0.01","Overall","CSR",0.978680555555556,0.0513483189277111
"2","0.01","Overall","Rel",0.984362910773207,0.0419143763491633
"3","0.01","Overall","Rec",0.994183237080257,0.0196050424592416
"4","0.01","Overall","F_score",0.988782717508398,0.0301572747485567
"5","0.01","Overall","BiS",0.466685650479041,0.0055324991135938
"6","0.01","Overall","Restrictions",0,0
"7","2","Overall","CSR",0.953291666666667,0.0537531474847053
"8","2","Overall","Rel",0.980476687505554,0.0345842469991688
"9","2","Overall","Rec",0.894032243762821,0.113282907357725
"10","2","Overall","F_score",0.923736375783067,0.0841366899343607
"11","2","Overall","BiS",0.46845559823648,0.00515377178613683
"12","2","Overall","Restrictions",1,0
"13","6","Overall","CSR",0.954875,0.0507187043961455
"14","6","Overall","Rel",0.981481040356773,0.0381870114637899
"15","6","Overall","Rec",0.906993690697869,0.105912007761133
"16","6","Overall","F_score",0.933485763895593,0.0766587122409705
"17","6","Overall","BiS",0.467214577188085,0.00637785280054289
"18","6","Overall","Restrictions",1,0
"19","10","Overall","CSR",0.925888888888889,0.0658425357384697
"20","10","Overall","Rel",0.984802023073984,0.0336530000053469
"21","10","Overall","Rec",0.857814975148309,0.110849812026819
"22","10","Overall","F_score",0.9038606042164,0.0816397870527583
"23","10","Overall","BiS",0.46860777328893,0.00474132624105619
"24","10","Overall","Restrictions",1,0
"25","14","Overall","CSR",0.937277777777778,0.047407649148453
"26","14","Overall","Rel",0.990280108727734,0.0299271713426382
"27","14","Overall","Rec",0.88697471641262,0.0774921965923407
"28","14","Overall","F_score",0.925932673224651,0.0536670025220822
"29","14","Overall","BiS",0.46814027602267,0.00580177409922227
"30","14","Overall","Restrictions",1,0
"31","18","Overall","CSR",0.906097222222222,0.0787168830112883
"32","18","Overall","Rel",0.987726944539827,0.0425430484696491
"33","18","Overall","Rec",0.830334595959596,0.122414996418651
"34","18","Overall","F_score",0.887148371498112,0.0985742020940231
"35","18","Overall","BiS",0.46705905393996,0.0168756246702374
"36","18","Overall","Restrictions",1,0
"37","22","Overall","CSR",0.919833333333333,0.0483134228023362
"38","22","Overall","Rel",0.978072163778721,0.0572253077667303
"39","22","Overall","Rec",0.847020751633987,0.075218395155474
"40","22","Overall","F_score",0.895151747212123,0.0647867104949002
"41","22","Overall","BiS",0.464314963982961,0.0236867984139942
"42","22","Overall","Restrictions",1,0
"43","26","Overall","CSR",0.897930555555555,0.0622947135653052
"44","26","Overall","Rel",0.97871410620564,0.0555323392436354
"45","26","Overall","Rec",0.810309924487594,0.0990527164333253
"46","26","Overall","F_score",0.868583435616438,0.0838118245553434
"47","26","Overall","BiS",0.46452609296635,0.0234552035919392
"48","26","Overall","Restrictions",1,0
"49","30","Overall","CSR",0.877875,0.0879703607353853
"50","30","Overall","Rel",0.981783829365079,0.0782909769708622
"51","30","Overall","Rec",0.779633333333333,0.130153533094076
"52","30","Overall","F_score",0.847022156114736,0.113407932663117
"53","30","Overall","BiS",0.463584064143472,0.0366791003291772
"54","30","Overall","Restrictions",1,0
"55","60","Overall","CSR",0.745944444444444,0.119663943626023
"56","60","Overall","Rel",0.85709018198526,0.221815201747525
"57","60","Overall","Rec",0.576886111111111,0.181599559076287
"58","60","Overall","F_score",0.661393534918759,0.184273007162829
"59","60","Overall","BiS",0.423484758001992,0.0896855055260388
"60","60","Overall","Restrictions",1,0
"61","80","Overall","CSR",0.594444444444444,0.134054247324542
"62","80","Overall","Rel",0.646098339421778,0.2378398391574
"63","80","Overall","Rec",0.369598843271424,0.159413663828706
"64","80","Overall","F_score",0.450727612881763,0.175145612747949
"65","80","Overall","BiS",0.3202492440178,0.112245053712084
"66","80","Overall","Restrictions",1,0
"67","100","Overall","CSR",0.550541666666667,0.11391224405874
"68","100","Overall","Rel",0.554450290227502,0.234778849031023
"69","100","Overall","Rec",0.287834381551363,0.15022063690837
"70","100","Overall","F_score",0.364502790277526,0.168970184041315
"71","100","Overall","BiS",0.308176424880639,0.105154537642512
"72","100","Overall","Restrictions",1,0
"73","120","Overall","CSR",0.526444444444444,0.139862716924625
"74","120","Overall","Rel",0.579351433021453,0.231896254426579
"75","120","Overall","Rec",0.26015233426704,0.134717071515076
"76","120","Overall","F_score",0.347162049081764,0.156192529897302
"77","120","Overall","BiS",0.296422321653586,0.11277938837459
"78","120","Overall","Restrictions",1,0
"79","140","Overall","CSR",0.472666666666667,0.142944938299639
"80","140","Overall","Rel",0.454205335005519,0.259826830178845
"81","140","Overall","Rec",0.200684368601186,0.13513129401208
"82","140","Overall","F_score",0.269178517842513,0.164710387482712
"83","140","Overall","BiS",0.241219421882289,0.132884926546887
"84","140","Overall","Restrictions",1,0
"85","160","Overall","CSR",0.441958333333333,0.119848503966721
"86","160","Overall","Rel",0.40234620823247,0.24963715860214
"87","160","Overall","Rec",0.161833909853249,0.121728502746967
"88","160","Overall","F_score",0.225186639996419,0.151959548094594
"89","160","Overall","BiS",0.227879356477478,0.121894036635194
"90","160","Overall","Restrictions",1,0
"91","180","Overall","CSR",0.430208333333333,0.1346648083765
"92","180","Overall","Rel",0.388245301250808,0.262329977762808
"93","180","Overall","Rec",0.152551260646962,0.125652064209381
"94","180","Overall","F_score",0.213669390407637,0.1590838637776
"95","180","Overall","BiS",0.215879396711262,0.125671198047414
"96","180","Overall","Restrictions",1,0
"97","200","Overall","CSR",0.438333333333333,0.116198038395595
"98","200","Overall","Rel",0.393935216960268,0.265803797727612
"99","200","Overall","Rec",0.141409887134904,0.0980617559147322
"100","200","Overall","F_score",0.206235708009918,0.139997794050597
"101","200","Overall","BiS",0.237161685049827,0.135175218659169
"102","200","Overall","Restrictions",1,0
"103","220","Overall","CSR",0.4135,0.10163613347682
"104","220","Overall","Rel",0.346779010025063,0.272219239324207
"105","220","Overall","Rec",0.128253155750734,0.102873212230008
"106","220","Overall","F_score",0.184509390057437,0.144174170924278
"107","220","Overall","BiS",0.208881659868387,0.127337925778036
"108","220","Overall","Restrictions",1,0
"109","240","Overall","CSR",0.408666666666667,0.0972111104761179
"110","240","Overall","Rel",0.331878808011408,0.234118703755355
"111","240","Overall","Rec",0.113063769337136,0.0817814491250842
"112","240","Overall","F_score",0.168267280472157,0.120186727223534
"113","240","Overall","BiS",0.213835629451946,0.129374435039379
"114","240","Overall","Restrictions",1,0
"115","260","Overall","CSR",0.417416666666667,0.0949798955335052
"116","260","Overall","Rel",0.313581629718566,0.276827101247357
"117","260","Overall","Rec",0.106205634638889,0.0926236996606482
"118","260","Overall","F_score",0.158303517474699,0.138454089814928
"119","260","Overall","BiS",0.230930849555213,0.134855701397918
"120","260","Overall","Restrictions",1,0
"121","280","Overall","CSR",0.429666666666667,0.0856673151726426
"122","280","Overall","Rel",0.309961543960568,0.251008284900291
"123","280","Overall","Rec",0.105337091714455,0.084460476535156
"124","280","Overall","F_score",0.156817792222753,0.125933426431292
"125","280","Overall","BiS",0.249179675639153,0.125068456047523
"126","280","Overall","Restrictions",1,0
"127","300","Overall","CSR",0.431583333333333,0.129316322124473
"128","300","Overall","Rel",0.269475814198392,0.25633795993926
"129","300","Overall","Rec",0.095002812606885,0.096183198936409
"130","300","Overall","F_score",0.139408772379846,0.136779704953793
"131","300","Overall","BiS",0.233708521883544,0.151645093008653
"132","300","Overall","Restrictions",1,0
"133","320","Overall","CSR",0.4285,0.0923534875717569
"134","320","Overall","Rel",0.275290379903761,0.197051518407005
"135","320","Overall","Rec",0.0943606821901424,0.0712964680714223
"136","320","Overall","F_score",0.140165561874075,0.103513832193215
"137","320","Overall","BiS",0.23736687128019,0.119149925934893
"138","320","Overall","Restrictions",1,0
"139","340","Overall","CSR",0.4615,0.115591376032782
"140","340","Overall","Rel",0.29776375195819,0.242738035853778
"141","340","Overall","Rec",0.10777657706681,0.100897818615587
"142","340","Overall","F_score",0.156456774319857,0.13625402860741
"143","340","Overall","BiS",0.272590728755446,0.128380723874308
"144","340","Overall","Restrictions",1,0
"145","360","Overall","CSR",0.4425,0.0948317223061753
"146","360","Overall","Rel",0.261489809418139,0.271793225396027
"147","360","Overall","Rec",0.0891007988622992,0.0947821018881203
"148","360","Overall","F_score",0.132578790092245,0.139556088329495
"149","360","Overall","BiS",0.255471675836987,0.120832866475109
"150","360","Overall","Restrictions",1,0
"151","380","Overall","CSR",0.466083333333333,0.089626373935142
"152","380","Overall","Rel",0.324364886054788,0.224307837355396
"153","380","Overall","Rec",0.111801124056913,0.0864089091558178
"154","380","Overall","F_score",0.16505374481985,0.119964715139438
"155","380","Overall","BiS",0.280593859967684,0.0962925161293354
"156","380","Overall","Restrictions",1,0
"157","400","Overall","CSR",0.453583333333333,0.0804695422021414
"158","400","Overall","Rel",0.287415883327248,0.256306003084548
"159","400","Overall","Rec",0.0961941833313047,0.0856922166846138
"160","400","Overall","F_score",0.144129819822529,0.12841853122963
"161","400","Overall","BiS",0.274056889424169,0.112252487481513
"162","400","Overall","Restrictions",1,0
"163","420","Overall","CSR",0.477041666666667,0.111400594587685
"164","420","Overall","Rel",0.267888032814367,0.224489712910007
