"","Method","Choice","Measure","Mean","S.d."
"1",1,"Overall","CSR",0.951111111111111,0.0719497082622468
"2",1,"Overall","Rel",0.941538352840976,0.073408915282324
"3",1,"Overall","Rec",0.965048655685067,0.0754110171551239
"4",1,"Overall","F_score",0.950092252996534,0.0726271750793285
"5",1,"Overall","BiS",0.463191638373849,0.00921254336617982
"6",1,"Overall","Relations",0.72,0.453557367611073
"7",2,"Overall","CSR",0.944027777777778,0.0751799564820235
"8",2,"Overall","Rel",0.935282669430065,0.0781285884203319
"9",2,"Overall","Rec",0.960629862458984,0.0689150243623479
"10",2,"Overall","F_score",0.944431318581087,0.067736850330642
"11",2,"Overall","BiS",0.464577067441888,0.00824958925739768
"12",2,"Overall","Relations",0.72,0.453557367611073
"13",3,"Overall","CSR",0.961138888888889,0.070598957538285
"14",3,"Overall","Rel",0.954969220537299,0.0635069689733169
"15",3,"Overall","Rec",0.951029704491,0.0804157174812426
"16",3,"Overall","F_score",0.948556714272954,0.0747288619375039
"17",3,"Overall","BiS",0.465694309531276,0.0084250657622995
"18",3,"Overall","Relations",0.76,0.4314191105869
"19",4,"Overall","CSR",0.958027777777778,0.0745748268077026
"20",4,"Overall","Rel",0.962868765421986,0.0715558990093296
"21",4,"Overall","Rec",0.953761730099782,0.0811694151931071
"22",4,"Overall","F_score",0.954259737150183,0.0693227875834875
"23",4,"Overall","BiS",0.46595153301529,0.00795159006868884
"24",4,"Overall","Relations",0.7,0.462910049886276
"25",5,"Overall","CSR",0.95025,0.079681260068458
"26",5,"Overall","Rel",0.934605212275791,0.0821796322010354
"27",5,"Overall","Rec",0.968519264359141,0.0590344085073441
"28",5,"Overall","F_score",0.948997568747929,0.0638087606480004
"29",5,"Overall","BiS",0.463482829694794,0.010581127360209
"30",5,"Overall","Relations",0.7,0.462910049886276
"31",6,"Overall","CSR",0.951666666666667,0.0687888555766812
"32",6,"Overall","Rel",0.949855205858434,0.0722101494046843
"33",6,"Overall","Rec",0.968278143889562,0.0550595733603877
"34",6,"Overall","F_score",0.956551368550031,0.0566387687924498
"35",6,"Overall","BiS",0.465318576602519,0.00891641025992177
"36",6,"Overall","Relations",0.66,0.478518120698406
"37",7,"Overall","CSR",0.932527777777778,0.0854313977120916
"38",7,"Overall","Rel",0.91955696017171,0.0868115557295243
"39",7,"Overall","Rec",0.950633934496625,0.0765360268144537
"40",7,"Overall","F_score",0.930637857829636,0.076901213262261
"41",7,"Overall","BiS",0.461303331523335,0.0112396624477703
"42",7,"Overall","Relations",0.66,0.478518120698406
"43",8,"Overall","CSR",0.943222222222222,0.0904425236721279
"44",8,"Overall","Rel",0.938557855062728,0.0849297747617
"45",8,"Overall","Rec",0.971420474783125,0.0541770396428187
"46",8,"Overall","F_score",0.952069736066383,0.063229245044579
"47",8,"Overall","BiS",0.462878583281536,0.0105347130174427
"48",8,"Overall","Relations",0.8,0.404061017820884
"49",9,"Overall","CSR",0.956388888888889,0.0670951836455519
"50",9,"Overall","Rel",0.944633258919796,0.0794543406687543
"51",9,"Overall","Rec",0.954359394119281,0.0728566368180498
"52",9,"Overall","F_score",0.946993498732273,0.0723551453323613
"53",9,"Overall","BiS",0.465194501365987,0.00830785825649765
"54",9,"Overall","Relations",0.74,0.443087497693452
"55",10,"Overall","CSR",0.935138888888889,0.0847109533043122
"56",10,"Overall","Rel",0.929707316492566,0.0804187270028915
"57",10,"Overall","Rec",0.958859151563716,0.0643436081094377
"58",10,"Overall","F_score",0.941122584266784,0.0643636492408939
"59",10,"Overall","BiS",0.462996950969529,0.00876672018404926
"60",10,"Overall","Relations",0.56,0.501426536422407
"61",11,"Overall","CSR",0.937944444444444,0.0839290123445208
"62",11,"Overall","Rel",0.932544884395327,0.0818219244397125
"63",11,"Overall","Rec",0.934663968103213,0.107488276958696
"64",11,"Overall","F_score",0.926485787857233,0.0934920085294677
"65",11,"Overall","BiS",0.464626963564538,0.0092563691898365
"66",11,"Overall","Relations",0.54,0.503457433905888
