"","Method","Choice","Measure","Mean","S.d."
"1","0.01","Overall","CSR",1,0
"2","0.01","Overall","Rel",0.000104166666666667,0.000236905638618407
"3","0.01","Overall","Rec",0.000104166666666667,0.000236905638618407
"4","0.01","Overall","F_score",0.000104166666666667,0.000236905638618407
"5","0.01","Overall","BiS",0.526971767214218,0.00672860125413003
"6","0.01","Overall","Restrictions",0,0
"7","2","Overall","CSR",0.939583333333333,0.0438883281161129
"8","2","Overall","Rel",0,0
"9","2","Overall","Rec",0,0
"10","2","Overall","F_score",0,0
"11","2","Overall","BiS",0.517740872289063,0.040694069794291
"12","2","Overall","Restrictions",0,0
"13","6","Overall","CSR",0.922916666666667,0.0268864416970048
"14","6","Overall","Rel",0,0
"15","6","Overall","Rec",0,0
"16","6","Overall","F_score",0,0
"17","6","Overall","BiS",0.533129531861271,0.00398857584162276
"18","6","Overall","Restrictions",0,0
"19","10","Overall","CSR",0.877083333333333,0.011410886614691
"20","10","Overall","Rel",0,0
"21","10","Overall","Rec",0,0
"22","10","Overall","F_score",0,0
"23","10","Overall","BiS",0.53566767842224,0.00416063069694255
"24","10","Overall","Restrictions",0,0
"25","14","Overall","CSR",0.827083333333333,0.0268864416970048
"26","14","Overall","Rel",0,0
"27","14","Overall","Rec",0,0
"28","14","Overall","F_score",0,0
"29","14","Overall","BiS",0.536996312691938,0.00400170438389567
"30","14","Overall","Restrictions",0,0
"31","18","Overall","CSR",0.8125,0
"32","18","Overall","Rel",0,0
"33","18","Overall","Rec",0,0
"34","18","Overall","F_score",0,0
"35","18","Overall","BiS",0.537628872426196,0.00437524164644829
"36","18","Overall","Restrictions",0,0
"37","22","Overall","CSR",0.8125,0
"38","22","Overall","Rel",0,0
"39","22","Overall","Rec",0,0
"40","22","Overall","F_score",0,0
"41","22","Overall","BiS",0.537628872426196,0.00437524164644829
"42","22","Overall","Restrictions",0,0
"43","26","Overall","CSR",0.8125,0
"44","26","Overall","Rel",0,0
"45","26","Overall","Rec",0,0
"46","26","Overall","F_score",0,0
"47","26","Overall","BiS",0.537628872426196,0.00437524164644829
"48","26","Overall","Restrictions",0,0
"49","30","Overall","CSR",0.8125,0
"50","30","Overall","Rel",0,0
"51","30","Overall","Rec",0,0
"52","30","Overall","F_score",0,0
"53","30","Overall","BiS",0.537628872426196,0.00437524164644829
"54","30","Overall","Restrictions",0.0333333333333333,0.182574185835055
"55","60","Overall","CSR",0.860416666666667,0.0483658976704792
"56","60","Overall","Rel",0,0
"57","60","Overall","Rec",0,0
"58","60","Overall","F_score",0,0
"59","60","Overall","BiS",0.534254102485546,0.00605591878096662
"60","60","Overall","Restrictions",1,0
"61","80","Overall","CSR",0.96875,0.0485512083020207
"62","80","Overall","Rel",0,0
"63","80","Overall","Rec",0,0
"64","80","Overall","F_score",0,0
"65","80","Overall","BiS",0.529399935768757,0.0057118235392681
"66","80","Overall","Restrictions",1,0
"67","100","Overall","CSR",0.991666666666667,0.0271357803409565
"68","100","Overall","Rel",0,0
"69","100","Overall","Rec",0,0
"70","100","Overall","F_score",0,0
"71","100","Overall","BiS",0.528641572793554,0.0055405616129799
"72","100","Overall","Restrictions",1,0
