"","Method","Choice","Measure","Mean","S.d."
"1","0.01","Overall","CSR",0.790148809523809,0.0789091420814076
"2","0.01","Overall","Rel",0.0654071621773221,0.0207238313131243
"3","0.01","Overall","Rec",0.0994216197291582,0.0350349954630064
"4","0.01","Overall","F_score",0.0783335096800063,0.0251149311918121
"5","0.01","Overall","BiS",0.50598636339752,0.00750840361337388
"6","0.01","Overall","Restrictions",0,0
"7","2","Overall","CSR",0.857678571428571,0.0643783582252184
"8","2","Overall","Rel",0.0161835844481023,0.017297303081584
"9","2","Overall","Rec",0.0249820898722243,0.0280414740367392
"10","2","Overall","F_score",0.0194387674133999,0.0211861594534156
"11","2","Overall","BiS",0.511577997968625,0.0407133733040062
"12","2","Overall","Restrictions",1,0
"13","6","Overall","CSR",0.829910714285714,0.0595581548751042
"14","6","Overall","Rel",0.024331139663353,0.0193415131923008
"15","6","Overall","Rec",0.0378723797606009,0.0313984193479599
"16","6","Overall","F_score",0.0290730014431399,0.0227954012632601
"17","6","Overall","BiS",0.519155148983296,0.00936294618208353
"18","6","Overall","Restrictions",1,0
"19","10","Overall","CSR",0.817529761904762,0.0662276601462372
"20","10","Overall","Rel",0.0217634378225093,0.0152719589899026
"21","10","Overall","Rec",0.0343078226333495,0.0247857868720882
"22","10","Overall","F_score",0.0261643815439736,0.0179215194536872
"23","10","Overall","BiS",0.52035424502629,0.00925308952534944
"24","10","Overall","Restrictions",1,0
"25","14","Overall","CSR",0.825257936507936,0.0798025227890529
"26","14","Overall","Rel",0.0223537585152435,0.0170236492635202
"27","14","Overall","Rec",0.0355658072371561,0.0287127377965828
"28","14","Overall","F_score",0.0270219493030102,0.0205684317498483
"29","14","Overall","BiS",0.518225098821878,0.0092077866848884
"30","14","Overall","Restrictions",1,0
"31","18","Overall","CSR",0.820605158730159,0.0562414643498169
"32","18","Overall","Rel",0.014708160212712,0.0142900203935676
"33","18","Overall","Rec",0.0242597509489197,0.023856954632162
"34","18","Overall","F_score",0.0181473435266439,0.0176369274698298
"35","18","Overall","BiS",0.521575849731155,0.00779954624182296
"36","18","Overall","Restrictions",1,0
"37","22","Overall","CSR",0.836686507936508,0.0617833018597749
"38","22","Overall","Rel",0.0159940869466016,0.0147232036785895
"39","22","Overall","Rec",0.0245390655569967,0.0207933604377013
"40","22","Overall","F_score",0.0190584211045047,0.0166109137408716
"41","22","Overall","BiS",0.519570903248914,0.00877902035660582
"42","22","Overall","Restrictions",1,0
"43","26","Overall","CSR",0.835456349206349,0.0625557357366592
"44","26","Overall","Rel",0.0128924386478109,0.0107178659890482
"45","26","Overall","Rec",0.0199650068348268,0.0171744977046331
"46","26","Overall","F_score",0.0154055510817326,0.0127213244323392
"47","26","Overall","BiS",0.521343794092554,0.00846921322512507
"48","26","Overall","Restrictions",1,0
"49","30","Overall","CSR",0.831835317460317,0.0654113160672308
"50","30","Overall","Rel",0.0141711747878139,0.0125541061423321
"51","30","Overall","Rec",0.0216703586643143,0.018467009577625
"52","30","Overall","F_score",0.0168000616127205,0.0143335607189054
"53","30","Overall","BiS",0.519970772851318,0.0108429276357394
"54","30","Overall","Restrictions",1,0
"55","60","Overall","CSR",0.848303571428571,0.0693192890028532
"56","60","Overall","Rel",0.0129030168325681,0.0115781734746555
"57","60","Overall","Rec",0.0160463548245736,0.0139244314238969
"58","60","Overall","F_score",0.0140466867590676,0.0122673361105261
"59","60","Overall","BiS",0.515702597593581,0.0282242522733275
"60","60","Overall","Restrictions",1,0
"61","80","Overall","CSR",0.84702380952381,0.0826116492585946
"62","80","Overall","Rel",0.00669558947605935,0.00778822439307009
"63","80","Overall","Rec",0.00755372174350814,0.00865574445989744
"64","80","Overall","F_score",0.00700988342031191,0.00806802327432428
"65","80","Overall","BiS",0.508870928025287,0.0474979649359108
"66","80","Overall","Restrictions",1,0
"67","100","Overall","CSR",0.863958333333333,0.0871049322917225
"68","100","Overall","Rel",0.00521514544074502,0.00600975493767542
"69","100","Overall","Rec",0.00600091422377525,0.00730631225833407
"70","100","Overall","F_score",0.00552472804561639,0.00649321408964574
"71","100","Overall","BiS",0.504229069574243,0.0588996092733037
"72","100","Overall","Restrictions",1,0
"73","120","Overall","CSR",0.84860119047619,0.0792510677126485
"74","120","Overall","Rel",0.00337848180316159,0.0040167189789943
"75","120","Overall","Rec",0.00385771118792142,0.00487333822953632
"76","120","Overall","F_score",0.00353474953856098,0.00429738578130875
"77","120","Overall","BiS",0.511097081863897,0.0459125143584642
"78","120","Overall","Restrictions",1,0
"79","140","Overall","CSR",0.853333333333333,0.0712284611878395
"80","140","Overall","Rel",0.00176960123723314,0.00215996410040092
"81","140","Overall","Rec",0.00198230452508035,0.00219721509592707
"82","140","Overall","F_score",0.00183426702835493,0.00211478806805188
"83","140","Overall","BiS",0.513708236840918,0.0426510583927351
"84","140","Overall","Restrictions",1,0
"85","160","Overall","CSR",0.854791666666667,0.0851477184090318
"86","160","Overall","Rel",0.00152891997456011,0.00340512184032336
"87","160","Overall","Rec",0.00168934955065222,0.00348785242462047
"88","160","Overall","F_score",0.00159179072676628,0.0034343581662507
"89","160","Overall","BiS",0.507956369431061,0.0571313886609858
"90","160","Overall","Restrictions",1,0
"91","180","Overall","CSR",0.855327380952381,0.0903010028478859
"92","180","Overall","Rel",0.00056369675196134,0.00102802525416438
"93","180","Overall","Rec",0.000747535625505269,0.00144002342089208
"94","180","Overall","F_score",0.000634382624902682,0.0011841140579021
"95","180","Overall","BiS",0.502789330839276,0.0668727127297957
"96","180","Overall","Restrictions",1,0
"97","200","Overall","CSR",0.856785714285714,0.0682597005111305
"98","200","Overall","Rel",0.000431692981492636,0.00115331714120498
"99","200","Overall","Rec",0.000515880782908498,0.0012573298735354
"100","200","Overall","F_score",0.000464026595717108,0.00118811856739214
"101","200","Overall","BiS",0.521483162746715,0.0356766501062184
"102","200","Overall","Restrictions",1,0
"103","220","Overall","CSR",0.840922619047619,0.080007839818797
"104","220","Overall","Rel",0.000383045441304044,0.00141453363658171
"105","220","Overall","Rec",0.000275794805834803,0.000905910837895006
"106","220","Overall","F_score",0.000308827806692765,0.0010548792342876
"107","220","Overall","BiS",0.504461643985929,0.0630869932926343
"108","220","Overall","Restrictions",1,0
"109","240","Overall","CSR",0.870416666666667,0.063988335366919
"110","240","Overall","Rel",0.000172265182826074,0.000466743645566044
"111","240","Overall","Rec",0.000240377358947419,0.00064310075259204
"112","240","Overall","F_score",0.000197813609874132,0.000530244560912327
"113","240","Overall","BiS",0.526067212642929,0.0266864852734497
"114","240","Overall","Restrictions",1,0
"115","260","Overall","CSR",0.841547619047619,0.0856346980953753
"116","260","Overall","Rel",0.000136209556900334,0.000419401862177842
"117","260","Overall","Rec",0.000162806971997343,0.000425459565177016
"118","260","Overall","F_score",0.000143905204575259,0.000402409806107262
"119","260","Overall","BiS",0.503024058974039,0.0616365958125347
"120","260","Overall","Restrictions",1,0
"121","280","Overall","CSR",0.833095238095238,0.0966115883100407
"122","280","Overall","Rel",8.4763541383882e-05,0.000300869385413095
"123","280","Overall","Rec",0.000109998953664163,0.00038331852127358
"124","280","Overall","F_score",9.4217661131937e-05,0.00033018956475866
"125","280","Overall","BiS",0.495001022752545,0.06622245925867
"126","280","Overall","Restrictions",1,0
"127","300","Overall","CSR",0.827619047619048,0.101669605404256
"128","300","Overall","Rel",8.33333333333335e-05,0.000589255650988791
"129","300","Overall","Rec",8.33333333333335e-05,0.000589255650988791
"130","300","Overall","F_score",8.33333333333335e-05,0.000589255650988791
"131","300","Overall","BiS",0.496281562776761,0.0764430898093758
"132","300","Overall","Restrictions",1,0
"133","320","Overall","CSR",0.834464285714286,0.0845455571263899
"134","320","Overall","Rel",4.84605275509246e-05,0.000239906006768647
"135","320","Overall","Rec",6.08983384961982e-05,0.000309242647312511
"136","320","Overall","F_score",5.34356519290341e-05,0.000266324898429761
"137","320","Overall","BiS",0.490583854257629,0.0695532519718522
"138","320","Overall","Restrictions",1,0
"139","340","Overall","CSR",0.812827380952381,0.112615219771371
"140","340","Overall","Rel",2.95068745100404e-05,0.000208645110576701
"141","340","Overall","Rec",2.71739130434783e-05,0.00019214858184417
"142","340","Overall","F_score",2.82923818362114e-05,0.000200057350523042
"143","340","Overall","BiS",0.478391993519045,0.0949979551645368
"144","340","Overall","Restrictions",1,0
"145","360","Overall","CSR",0.825297619047619,0.128022442316689
"146","360","Overall","Rel",1.54320987654321e-05,0.000109121416849776
"147","360","Overall","Rec",2.31481481481482e-05,0.000163682125274664
"148","360","Overall","F_score",1.85185185185185e-05,0.000130945700219731
"149","360","Overall","BiS",0.479451150829742,0.100828464863745
"150","360","Overall","Restrictions",1,0
"151","380","Overall","CSR",0.814345238095238,0.100040429983637
"152","380","Overall","Rel",8.04030874785593e-05,0.000431848213048075
"153","380","Overall","Rec",5.19939965694683e-05,0.000258454660661363
"154","380","Overall","F_score",6.14636935391653e-05,0.000312616887013807
"155","380","Overall","BiS",0.47326850256372,0.090921096564468
"156","380","Overall","Restrictions",1,0
"157","400","Overall","CSR",0.7875,0.106069493917497
"158","400","Overall","Rel",0.000318903318903319,0.00214339672553407
"159","400","Overall","Rec",0.000478354978354978,0.0032150950883011
"160","400","Overall","F_score",0.000382683982683983,0.00257207607064088
"161","400","Overall","BiS",0.466330019398893,0.0986762119542413
"162","400","Overall","Restrictions",1,0
"163","420","Overall","CSR",0.785744047619048,0.105890604943243
"164","420","Overall","Rel",1.1574074074074e-05,8.18410626373317e-05
"165","420","Overall","Rec",2.31481481481482e-05,0.000163682125274664
"166","420","Overall","F_score",1.54320987654321e-05,0.000109121416849776
"167","420","Overall","BiS",0.457943590191961,0.088789519788248
"168","420","Overall","Restrictions",1,0
"169","440","Overall","CSR",0.772738095238095,0.112400621209559
"170","440","Overall","Rel",0,0
"171","440","Overall","Rec",0,0
"172","440","Overall","F_score",0,0
"173","440","Overall","BiS",0.449423144576539,0.0930059240273608
"174","440","Overall","Restrictions",1,0
"175","460","Overall","CSR",0.790654761904762,0.109551418991176
"176","460","Overall","Rel",0,0
"177","460","Overall","Rec",0,0
"178","460","Overall","F_score",0,0
"179","460","Overall","BiS",0.46024537322765,0.0934896942977198
"180","460","Overall","Restrictions",1,0
"181","480","Overall","CSR",0.786587301587302,0.145653367224648
"182","480","Overall","Rel",2.40384615384615e-05,0.000169977591631382
"183","480","Overall","Rec",2.40384615384615e-05,0.000169977591631382
"184","480","Overall","F_score",2.40384615384615e-05,0.000169977591631382
"185","480","Overall","BiS",0.450126210094665,0.120139957404207
"186","480","Overall","Restrictions",1,0
"187","500","Overall","CSR",0.734255952380952,0.145823444385169
"188","500","Overall","Rel",0.00025,0.00176776695296637
"189","500","Overall","Rec",0.000125,0.000883883476483184
"190","500","Overall","F_score",0.000166666666666666,0.00117851130197758
"191","500","Overall","BiS",0.421628417835334,0.135747819543369
"192","500","Overall","Restrictions",1,0
