"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",0.770079365079365,0.100416685508706
"2","2","Overall","Rel",0.0447314955968238,0.0336881827684777
"3","2","Overall","Rec",0.066959271059614,0.0518163183774848
"4","2","Overall","F_score",0.0527735836362308,0.03920921364318
"5","2","Overall","BiS",0.515812092821471,0.0125721685483384
"6","3","Overall","CSR",0.830873015873016,0.0527722059747201
"7","3","Overall","Rel",0.0286641566762554,0.022166807340605
"8","3","Overall","Rec",0.0442067248297546,0.0357809276540247
"9","3","Overall","F_score",0.0345097127865363,0.0269223677412069
"10","3","Overall","BiS",0.521037345825849,0.00963555766452025
"11","4","Overall","CSR",0.868005952380952,0.0751675248996504
"12","4","Overall","Rel",0.0267155589061493,0.023887464038088
"13","4","Overall","Rec",0.0377498809965653,0.0337400055966965
"14","4","Overall","F_score",0.0307788811769437,0.0268964954308291
"15","4","Overall","BiS",0.521451400125258,0.00987012954488818
